fragment,book_id
1Ch,11
1Co,33
1J,49
1K,10
1P,47
1S,9
1Th,39
1Ti,41
2Ch,11
2Co,34
2J,50
2K,10
2P,48
2S,9
2Th,40
2Ti,42
3J,51
Ac,31
Am,25
C,38
Da,24
De,5
Ec,18
Ep,36
Es,14
Ex,2
Ezr,12
Ez,23
Ga,35
Ge,1
Hab,25
Hag,25
He,45
Ho,25
I,20
Ja,46
Je,21
Jn,30
Job,15
Joe,25
Joh,30
Jon,25
Jos,6
Jude,52
Judg,7
La,22
Le,3
Lu,29
Mal,39
Mar,28
Mat,27
Amos,25
Min,25
Mi,25
Na,25
Ne,13
Nu,4
O,25
Phile,44
Phil,37
Pr,17
Ps,16
Re,53
Ro,32
Ru,8
So,19
T,43
Zec,26
Zep,25
